Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_Seeking_Persons,Marginal_Seeking_Males,Marginal_Seeking_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females,District_Code,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females
21,0,6,231323,118382,112941,196743,111702,85041,4634,2211,2423,19937,2125,17812,1219,384,835,20,14643,4555,10088
21,0,7,366188,187466,178722,309735,177472,132263,5718,2600,3118,34244,3593,30651,1376,409,967,20,22209,6401,15808
21,0,8,247667,125112,122555,194677,114325,80352,3257,1485,1772,36729,5968,30761,714,263,451,20,16261,4819,11442
21,0,9,203139,91666,111473,116224,66146,50078,1723,808,915,73523,20845,52678,831,306,525,20,13392,4675,8717
21,0,10,95980,46200,49780,33285,22073,11212,376,210,166,57896,21681,36215,305,121,184,20,4799,2446,2353
21,0,11,29721,13810,15911,6511,4053,2458,135,71,64,22251,9262,12989,102,57,45,20,959,495,464
21,1,0,239210,127189,112021,3877,2056,1821,79,53,26,234320,124593,109727,855,493,362,20,1013,540,473
21,1,1,249900,132532,117368,7741,5099,2642,329,214,115,240380,126405,113975,2391,1575,816,20,1779,1028,751
21,1,2,250200,132479,117721,37234,30394,6840,2281,1633,648,207012,98122,108890,15200,9691,5509,20,5954,3963,1991
21,1,3,275874,141590,134284,94928,79343,15585,4256,3112,1144,170550,55175,115375,23656,12844,10812,20,10396,7072,3324
21,1,4,257152,131684,125468,130523,108127,22396,3785,2645,1140,115906,16539,99367,13652,5547,8105,20,10723,7018,3705
21,1,5,219951,114557,105394,127033,103601,23432,2824,1844,980,83970,5528,78442,6106,1515,4591,20,8948,5428,3520
21,1,6,194349,100446,93903,116265,92569,23696,2336,1423,913,70344,3478,66866,3555,683,2872,20,7740,4399,3341
21,1,7,300954,159074,141880,179950,146368,33582,2559,1627,932,110253,6349,103904,3121,762,2359,20,10751,6357,4394
21,1,8,186331,99134,87197,98774,82368,16406,1056,677,379,81878,13291,68587,1168,456,712,20,5679,3475,2204
21,1,9,117081,56648,60433,28036,21565,6471,452,254,198,86237,33514,52723,682,332,350,20,2808,1569,1239
21,1,10,50574,23945,26629,7316,5696,1620,89,50,39,42404,17731,24673,202,90,112,20,854,518,336
21,1,11,17976,7695,10281,2192,1671,521,35,23,12,15558,5883,9675,78,31,47,20,226,141,85
31,0,0,273427,139554,133873,3392,1738,1654,449,237,212,267591,136552,131039,1426,717,709,21,2444,1264,1180
