District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
4,22,0,5,84197,33090,51107,61157,31180,29977,10550,720,9830,12490,1190,11300,200,170,30
4,22,0,6,142608,58796,83812,104358,55196,49162,17770,1150,16620,20480,2450,18030,440,390,50
4,22,0,7,120360,53150,67210,76240,46600,29640,16150,1410,14740,27970,5140,22830,260,150,110
4,22,0,8,89059,40609,48450,36580,27090,9490,10340,1730,8610,42139,11789,30350,240,170,70
4,22,0,9,37320,16400,20920,7960,6460,1500,2630,890,1740,26730,9050,17680,150,60,90
4,22,0,10,13890,6080,7810,1600,1130,470,620,150,470,11670,4800,6870,80,50,30
4,22,1,0,28842,14494,14348,420,260,160,10,0,10,28412,14234,14178,210,100,110
4,22,1,1,15040,7920,7120,1990,1450,540,170,110,60,12880,6360,6520,700,470,230
4,22,1,2,14291,7540,6751,5561,4450,1111,310,140,170,8420,2950,5470,1070,780,290
4,22,1,3,12943,6476,6467,6520,5550,970,187,90,97,6236,836,5400,390,280,110
4,22,1,4,10702,5545,5157,6202,5025,1177,160,50,110,4340,470,3870,200,150,50
4,22,1,5,9653,4900,4753,5750,4600,1150,130,40,90,3773,260,3513,140,110,30
4,22,1,6,13620,6960,6660,7610,6200,1410,180,70,110,5830,690,5140,70,70,0
4,22,1,7,9761,4672,5089,4277,3638,639,100,30,70,5384,1004,4380,40,30,10
4,22,1,8,6224,2651,3573,1150,970,180,21,1,20,5053,1680,3373,10,10,0
4,22,1,9,2850,1190,1660,310,290,20,20,10,10,2520,890,1630,10,10,0
4,22,1,10,1150,480,670,80,70,10,0,0,0,1070,410,660,10,0,10
5,25,0,0,157510,80547,76963,2570,980,1590,2670,980,1690,152270,78587,73683,900,440,460
5,25,0,1,84900,38830,46070,27150,11100,16050,11090,3170,7920,46660,24560,22100,2160,1340,820
5,25,0,2,65070,28590,36480,38721,20231,18490,10309,1919,8390,16040,6440,9600,1620,970,650
5,25,0,3,54323,24372,29951,37779,21482,16297,7710,950,6760,8834,1940,6894,614,450,164
5,25,0,4,42622,19642,22980,31310,18490,12820,5800,500,5300,5512,652,4860,272,212,60
5,25,0,5,46181,19800,26381,34321,18840,15481,6200,500,5700,5660,460,5200,70,60,10
5,25,0,6,81988,36242,45746,59622,34282,25340,11700,830,10870,10666,1130,9536,150,100,50
5,25,0,7,71211,31950,39261,43580,27830,15750,11051,1060,9991,16580,3060,13520,70,40,30
5,25,0,8,58577,25260,33317,20527,14720,5807,6600,1600,5000,31450,8940,22510,100,40,60
5,25,0,9,24010,10560,13450,3980,3180,800,1580,640,940,18450,6740,11710,50,20,30
5,25,0,10,8130,3670,4460,550,490,60,210,90,120,7370,3090,4280,20,0,20
5,25,1,0,12137,6037,6100,60,40,20,20,20,0,12057,5977,6080,90,30,60
5,25,1,1,6676,3396,3280,642,422,220,120,70,50,5914,2904,3010,390,180,210
5,25,1,2,6270,3170,3100,1930,1560,370,330,160,170,4010,1450,2560,420,230,190
5,25,1,3,5948,3076,2872,2970,2461,509,318,155,163,2660,460,2200,170,100,70
5,25,1,4,4901,2500,2401,2760,2240,520,250,100,150,1891,160,1731,80,40,40
5,25,1,5,4622,2322,2300,2582,2082,500,220,60,160,1820,180,1640,20,10,10
5,25,1,6,6840,3650,3190,4070,3320,750,260,70,190,2510,260,2250,70,30,40
5,25,1,7,5271,2510,2761,2501,1870,631,170,100,70,2600,540,2060,10,10,0
5,25,1,8,3075,1280,1795,566,430,136,90,30,60,2419,820,1599,29,0,29
5,25,1,9,1480,710,770,150,120,30,20,0,20,1310,590,720,10,10,0
5,25,1,10,470,150,320,30,20,10,0,0,0,440,130,310,10,0,10
6,17,0,0,654150,339173,314977,50810,23400,27410,11372,3717,7655,591968,312056,279912,4080,2200,1880
6,17,0,1,210748,118460,92288,113898,60530,53368,11570,3200,8370,85280,54730,30550,1200,920,280
6,17,0,2,197500,98677,98823,157675,83387,74288,9960,1380,8580,29865,13910,15955,940,830,110
6,17,0,3,191795,93605,98190,165695,90425,75270,9600,510,9090,16500,2670,13830,380,260,120
6,17,0,4,165330,81960,83370,146820,81050,65770,7860,200,7660,10650,710,9940,110,30,80
6,17,0,5,148871,77081,71790,133320,76410,56910,6220,130,6090,9331,541,8790,101,31,70
6,17,0,6,237508,119250,118258,210258,117740,92518,11780,220,11560,15470,1290,14180,60,20,40
6,17,0,7,167645,84292,83353,133212,80452,52760,10360,630,9730,24073,3210,20863,120,20,100
6,17,0,8,112290,56100,56190,59680,40050,19630,5960,930,5030,46650,15120,31530,200,40,160
6,17,0,9,41170,19920,21250,10090,7300,2790,1320,360,960,29760,12260,17500,230,130,100
