District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
13,26,1,0,219950,114065,105885,5640,3040,2600,290,60,230,214020,110965,103055,1380,820,560
13,26,1,1,93372,49472,43900,19520,13280,6240,632,192,440,73220,36000,37220,3500,2540,960
13,26,1,2,91051,45311,45740,34970,27070,7900,910,250,660,55171,17991,37180,4540,3180,1360
13,26,1,3,78019,36963,41056,40740,31670,9070,913,133,780,36366,5160,31206,2060,1310,750
13,26,1,4,67501,33447,34054,40343,31497,8846,698,130,568,26460,1820,24640,750,310,440
13,26,1,5,61686,32437,29249,39596,31177,8419,670,80,590,21420,1180,20240,540,220,320
13,26,1,6,86384,45704,40680,54020,43283,10737,1010,60,950,31354,2361,28993,550,280,270
13,26,1,7,56488,29626,26862,29650,24250,5400,612,50,562,26226,5326,20900,200,140,60
13,26,1,8,39456,20396,19060,11258,9118,2140,440,70,370,27758,11208,16550,90,50,40
13,26,1,9,16256,8700,7556,2556,2200,356,50,40,10,13650,6460,7190,80,60,20
13,26,1,10,6350,2950,3400,530,360,170,10,0,10,5810,2590,3220,0,0,0
14,13,0,0,497027,256054,240973,14160,6430,7730,17240,5890,11350,465627,243734,221893,980,580,400
14,13,0,1,195160,109690,85470,69700,40410,29290,23520,6010,17510,101940,63270,38670,1990,1710,280
14,13,0,2,186607,93434,93173,114617,72184,42433,26190,2680,23510,45800,18570,27230,2170,1730,440
14,13,0,3,177516,83479,94037,127609,79479,48130,23360,780,22580,26547,3220,23327,700,510,190
14,13,0,4,160165,76315,83850,121593,75193,46400,19800,370,19430,18772,752,18020,92,72,20
14,13,0,5,149267,73530,75737,115457,72640,42817,18210,400,17810,15600,490,15110,200,70,130
14,13,0,6,236643,118931,117712,182412,116700,65712,28230,740,27490,26001,1491,24510,180,100,80
14,13,0,7,168395,86675,81720,116103,82573,33530,21452,1032,20420,30840,3070,27770,80,20,60
14,13,0,8,121010,58050,62960,52840,41950,10890,12490,1640,10850,55680,14460,41220,70,20,50
14,13,0,9,47295,22500,24795,10300,8950,1350,2815,780,2035,34180,12770,21410,20,10,10
14,13,0,10,17160,7370,9790,1680,1500,180,540,180,360,14940,5690,9250,10,0,10
14,13,1,0,176183,91214,84969,1930,1590,340,360,190,170,173893,89434,84459,340,210,130
14,13,1,1,78343,42773,35570,13358,11988,1370,1933,733,1200,63052,30052,33000,622,502,120
14,13,1,2,82817,43249,39568,31700,28530,3170,3063,1090,1973,48054,13629,34425,1020,760,260
14,13,1,3,75425,37140,38285,38759,33943,4816,2407,317,2090,34259,2880,31379,450,340,110
14,13,1,4,63099,33012,30087,37371,31974,5397,2128,208,1920,23600,830,22770,140,60,80
14,13,1,5,57546,30605,26941,35096,29782,5314,2010,150,1860,20440,673,19767,180,70,110
14,13,1,6,79154,43335,35819,48999,41755,7244,2018,220,1798,28137,1360,26777,150,60,90
14,13,1,7,47437,25295,22142,24972,21660,3312,990,170,820,21475,3465,18010,50,10,40
14,13,1,8,30478,14880,15598,8428,7180,1248,490,200,290,21560,7500,14060,50,20,30
14,13,1,9,11731,5711,6020,1871,1701,170,80,30,50,9780,3980,5800,20,10,10
14,13,1,10,4500,1930,2570,370,330,40,10,0,10,4120,1600,2520,30,10,20
15,3,0,0,391573,204805,186768,28570,11510,17060,7800,2170,5630,355203,191125,164078,2580,1440,1140
15,3,0,1,115675,69035,46640,61946,34786,27160,6899,2189,4710,46830,32060,14770,840,650,190
15,3,0,2,113266,56136,57130,88606,47806,40800,6680,840,5840,17980,7490,10490,540,440,100
15,3,0,3,109690,54430,55260,92832,52660,40172,5848,270,5578,11010,1500,9510,150,80,70
15,3,0,4,96970,48380,48590,84620,47870,36750,4760,60,4700,7590,450,7140,100,40,60
15,3,0,5,90754,47594,43160,79814,47024,32790,4570,80,4490,6370,490,5880,70,20,50
15,3,0,6,141346,70030,71316,122726,69010,53716,7740,180,7560,10880,840,10040,90,30,60
15,3,0,7,99666,51310,48356,78470,48690,29780,5650,190,5460,15546,2430,13116,90,0,90
15,3,0,8,71576,35346,36230,35537,24787,10750,3360,440,2920,32679,10119,22560,130,30,100
15,3,0,9,29700,14070,15630,6980,5270,1710,900,120,780,21820,8680,13140,200,130,70
15,3,0,10,11910,5470,6440,1190,820,370,50,10,40,10670,4640,6030,30,0,30
15,3,1,0,181313,95912,85401,2834,2030,804,250,170,80,178229,93712,84517,2120,1080,1040
15,3,1,1,70345,38745,31600,11430,9160,2270,660,410,250,58255,29175,29080,1160,720,440
15,3,1,2,78653,42413,36240,27763,23363,4400,830,450,380,50060,18600,31460,1280,770,510
15,3,1,3,67912,34760,33152,36188,30466,5722,849,369,480,30875,3925,26950,460,270,190
15,3,1,4,53172,28602,24570,32540,27500,5040,402,62,340,20230,1040,19190,260,60,200
15,3,1,5,45621,25753,19868,29501,25093,4408,480,100,380,15640,560,15080,120,10,110
15,3,1,6,60318,33790,26528,38940,32700,6240,610,160,450,20768,930,19838,120,20,100
15,3,1,7,33800,17152,16648,17883,14772,3111,297,50,247,15620,2330,13290,90,0,90
15,3,1,8,21429,10050,11379,5530,4700,830,140,40,100,15759,5310,10449,70,30,40
15,3,1,9,8500,4080,4420,1200,1040,160,20,10,10,7280,3030,4250,50,30,20
15,3,1,10,3830,1870,1960,440,420,20,20,10,10,3370,1440,1930,20,10,10
16,12,0,0,290698,150275,140423,26870,11610,15260,8320,2210,6110,255508,136455,119053,1620,950,670
16,12,0,1,79697,45637,34060,47297,25777,21520,5520,1500,4020,26880,18360,8520,390,270,120
16,12,0,2,86055,41070,44985,69675,36310,33365,5510,500,5010,10870,4260,6610,220,170,50
16,12,0,3,86261,40841,45420,73801,39921,33880,5540,130,5410,6920,790,6130,30,10,20
16,12,0,4,78227,37960,40267,67677,37230,30447,4660,120,4540,5890,610,5280,120,40,80
16,12,0,5,70292,36784,33508,61482,36294,25188,4190,130,4060,4620,360,4260,30,10,20
16,12,0,6,111270,57520,53750,96260,56450,39810,6340,130,6210,8670,940,7730,60,10,50
16,12,0,7,73931,37830,36101,57318,35570,21748,4720,300,4420,11893,1960,9933,50,20,30
16,12,0,8,53556,25996,27560,26770,18850,7920,3150,340,2810,23636,6806,16830,160,30,130
16,12,0,9,21780,10357,11423,5480,4270,1210,750,147,603,15550,5940,9610,180,80,100
16,12,0,10,9500,4190,5310,1220,890,330,190,50,140,8090,3250,4840,60,40,20
16,12,1,0,60366,31448,28918,1280,990,290,116,70,46,58970,30388,28582,380,270,110
16,12,1,1,21081,11381,9700,4381,3691,690,260,120,140,16440,7570,8870,280,180,100
16,12,1,2,21124,10620,10504,8527,7300,1227,400,120,280,12197,3200,8997,260,190,70
16,12,1,3,19688,9412,10276,10477,8846,1631,220,10,210,8991,556,8435,160,50,110
16,12,1,4,16635,8790,7845,9965,8500,1465,220,30,190,6450,260,6190,70,10,60
16,12,1,5,14321,7641,6680,8921,7521,1400,200,20,180,5200,100,5100,60,10,50
16,12,1,6,19590,10719,8871,12474,10293,2181,246,16,230,6870,410,6460,60,20,40
16,12,1,7,11917,6064,5853,6182,5182,1000,143,20,123,5592,862,4730,10,0,10
16,12,1,8,7756,4093,3663,2672,2312,360,91,11,80,4993,1770,3223,40,20,20
16,12,1,9,3170,1410,1760,530,490,40,10,0,10,2630,920,1710,10,0,10
16,12,1,10,1460,600,860,110,80,30,0,0,0,1350,520,830,0,0,0
17,19,0,0,415827,216356,199471,42300,19860,22440,10190,2010,8180,363337,194486,168851,860,500,360
17,19,0,1,123200,70670,52530,70070,39340,30730,8150,1440,6710,44980,29890,15090,1030,770,260
17,19,0,2,126050,59250,66800,96040,50500,45540,9480,530,8950,20530,8220,12310,1060,870,190
17,19,0,3,126898,60990,65908,103959,58770,45189,8960,280,8680,13979,1940,12039,390,290,100
17,19,0,4,114792,56572,58220,96432,55852,40580,7960,140,7820,10400,580,9820,130,80,50
17,19,0,5,100968,52780,48188,86950,52220,34730,6128,110,6018,7890,450,7440,80,10,70
17,19,0,6,157363,80420,76943,132883,78920,53963,9700,360,9340,14780,1140,13640,120,10,110
17,19,0,7,106870,54840,52030,81370,52090,29280,7230,280,6950,18270,2470,15800,110,50,60
17,19,0,8,78373,38063,40310,39793,28143,11650,4190,460,3730,34390,9460,24930,60,20,40
17,19,0,9,31105,14465,16640,8280,6450,1830,1015,265,750,21810,7750,14060,50,20,30
17,19,0,10,13470,5940,7530,1530,1250,280,280,100,180,11660,4590,7070,0,0,0
17,19,1,0,126151,65843,60308,2420,1790,630,180,130,50,123551,63923,59628,570,310,260
17,19,1,1,45202,25267,19935,7876,6600,1276,390,110,280,36936,18557,18379,1120,880,240
17,19,1,2,41433,21256,20177,14717,12190,2527,566,176,390,26150,8890,17260,1200,840,360
17,19,1,3,37471,18265,19206,19022,16295,2727,410,70,340,18039,1900,16139,620,390,230
17,19,1,4,33122,16813,16309,19483,16263,3220,401,60,341,13238,490,12748,270,100,170
17,19,1,5,30399,16221,14178,18893,15871,3022,436,30,406,11070,320,10750,150,50,100
17,19,1,6,42277,23049,19228,26977,22399,4578,430,60,370,14870,590,14280,100,0,100
17,19,1,7,24720,12520,12200,13530,11180,2350,210,0,210,10980,1340,9640,70,30,40
17,19,1,8,17673,8503,9170,5520,4580,940,170,70,100,11983,3853,8130,30,20,10
17,19,1,9,6930,3540,3390,1600,1430,170,20,0,20,5310,2110,3200,0,0,0
17,19,1,10,3431,1551,1880,321,291,30,10,0,10,3100,1260,1840,0,0,0
18,5,0,0,373464,194391,179073,27344,12190,15154,14710,4860,9850,331410,177341,154069,2270,1170,1100
18,5,0,1,110727,64253,46474,54411,29140,25271,10630,2850,7780,45686,32263,13423,610,520,90
18,5,0,2,108746,53281,55465,81267,43437,37830,10689,1364,9325,16790,8480,8310,440,360,80
18,5,0,3,107790,51520,56270,87900,49130,38770,10380,490,9890,9510,1900,7610,260,170,90
18,5,0,4,98170,49150,49020,83880,48220,35660,8270,220,8050,6020,710,5310,90,60,30
18,5,0,5,90337,46257,44080,77187,45457,31730,7520,240,7280,5630,560,5070,70,40,30
18,5,0,6,147823,74180,73643,125793,72980,52813,12580,300,12280,9450,900,8550,20,0,20
18,5,0,7,107642,54952,52690,83342,52452,30890,10830,470,10360,13470,2030,11440,80,10,70
18,5,0,8,76780,38240,38540,38960,27430,11530,6730,1080,5650,31090,9730,21360,220,90,130
18,5,0,9,33145,15905,17240,7860,5940,1920,1860,520,1340,23425,9445,13980,150,50,100
18,5,0,10,14290,6890,7400,1550,1210,340,280,60,220,12460,5620,6840,60,20,40
18,5,1,0,83480,43715,39765,1450,1010,440,199,119,80,81831,42586,39245,440,210,230
18,5,1,1,32435,18427,14008,5338,4430,908,440,250,190,26657,13747,12910,290,210,80
18,5,1,2,29484,15953,13531,10553,8812,1741,610,210,400,18321,6931,11390,380,290,90
18,5,1,3,26358,12283,14075,12946,10783,2163,500,100,400,12912,1400,11512,180,90,90
18,5,1,4,22663,11484,11179,13285,11154,2131,410,60,350,8968,270,8698,10,0,10
18,5,1,5,20095,11187,8908,12922,10917,2005,290,0,290,6883,270,6613,100,30,70
18,5,1,6,28115,15667,12448,18023,15235,2788,479,42,437,9613,390,9223,70,10,60
18,5,1,7,16958,8675,8283,9268,7645,1623,130,10,120,7560,1020,6540,20,0,20
18,5,1,8,11630,5720,5910,3670,3170,500,100,40,60,7860,2510,5350,10,10,0
18,5,1,9,4300,2170,2130,910,720,190,90,30,60,3300,1420,1880,20,10,10
18,5,1,10,2000,920,1080,200,160,40,0,0,0,1800,760,1040,10,0,10
19,16,0,0,489360,253766,235594,47754,23990,23764,17260,4010,13250,424346,225766,198580,1040,680,360
19,16,0,1,146240,83280,62960,74480,41880,32600,13260,2770,10490,58500,38630,19870,1120,840,280
19,16,0,2,141563,67486,74077,99290,54070,45220,14560,1200,13360,27713,12216,15497,960,730,230
19,16,0,3,137398,66047,71351,108688,63077,45611,12540,350,12190,16170,2620,13550,340,260,80
19,16,0,4,120749,61499,59250,99279,60579,38700,10130,180,9950,11340,740,10600,100,50,50
19,16,0,5,105383,54580,50803,87233,54100,33133,8980,190,8790,9170,290,8880,90,30,60
19,16,0,6,165708,85870,79838,137020,84680,52340,14258,230,14028,14430,960,13470,120,40,80
19,16,0,7,111313,56493,54820,83203,53863,29340,10330,370,9960,17780,2260,15520,10,0,10
19,16,0,8,81540,40300,41240,42010,30330,11680,5820,680,5140,33710,9290,24420,50,10,40
19,16,0,9,34310,16380,17930,8990,7310,1680,1630,440,1190,23690,8630,15060,50,10,40
19,16,0,10,15690,6720,8970,1820,1440,380,280,120,160,13590,5160,8430,50,10,40
19,16,1,0,136787,71615,65172,3290,2280,1010,1050,500,550,132447,68835,63612,530,240,290
19,16,1,1,51931,29078,22853,8971,7048,1923,850,360,490,42110,21670,20440,780,510,270
19,16,1,2,47178,24836,22342,15938,12896,3042,1060,330,730,30180,11610,18570,1010,670,340
19,16,1,3,39407,19261,20146,20264,16751,3513,803,80,723,18340,2430,15910,420,240,180
19,16,1,4,33767,17564,16203,19974,16694,3280,840,190,650,12953,680,12273,120,100,20
19,16,1,5,30640,16116,14524,19260,15736,3524,600,70,530,10780,310,10470,110,40,70
19,16,1,6,42568,23928,18640,27640,23210,4430,798,118,680,14130,600,13530,150,30,120
19,16,1,7,25748,12916,12832,13515,11060,2455,459,32,427,11774,1824,9950,90,30,60
19,16,1,8,17991,9101,8890,6021,5051,970,200,70,130,11770,3980,7790,60,40,20
19,16,1,9,6773,3090,3683,1183,1010,173,50,0,50,5540,2080,3460,10,0,10
19,16,1,10,2990,1350,1640,260,210,50,10,0,10,2720,1140,1580,10,0,10
20,18,0,0,266557,137800,128757,14614,7200,7414,3970,590,3380,247973,130010,117963,680,430,250
20,18,0,1,90152,49975,40177,41027,24060,16967,5965,695,5270,43160,25220,17940,1500,1150,350
20,18,0,2,86631,43411,43220,60001,34601,25400,6720,360,6360,19910,8450,11460,1750,1480,270
20,18,0,3,79383,39173,40210,62407,37383,25024,5540,120,5420,11436,1670,9766,520,410,110
20,18,0,4,69134,34230,34904,56590,33620,22970,4500,70,4430,8044,540,7504,150,120,30
20,18,0,5,65590,33290,32300,54450,32830,21620,4450,40,4410,6690,420,6270,120,90,30
20,18,0,6,107603,54330,53273,89390,53650,35740,6953,70,6883,11260,610,10650,150,50,100
20,18,0,7,77020,40100,36920,58270,38380,19890,5040,190,4850,13710,1530,12180,30,10,20
20,18,0,8,57065,29043,28022,29475,21923,7552,2870,200,2670,24720,6920,17800,50,20,30
20,18,0,9,24552,12582,11970,6800,5790,1010,790,150,640,16962,6642,10320,10,10,0
20,18,0,10,11840,6270,5570,1330,1130,200,160,50,110,10350,5090,5260,30,30,0
20,18,1,0,49629,25697,23932,910,650,260,150,30,120,48569,25017,23552,180,120,60
20,18,1,1,20640,11920,8720,3770,2890,880,210,110,100,16660,8920,7740,840,510,330
20,18,1,2,17506,9362,8144,6256,5002,1254,310,90,220,10940,4270,6670,870,590,280
20,18,1,3,14903,7250,7653,7670,6310,1360,393,40,353,6840,900,5940,420,210,210
20,18,1,4,12568,6700,5868,7700,6350,1350,280,20,260,4588,330,4258,130,50,80
20,18,1,5,11848,5932,5916,7488,5832,1656,210,0,210,4150,100,4050,30,10,20
20,18,1,6,17680,9690,7990,11360,9250,2110,290,50,240,6030,390,5640,100,20,80
20,18,1,7,10382,5417,4965,5997,4867,1130,110,10,100,4275,540,3735,30,10,20
20,18,1,8,7140,3580,3560,2530,2060,470,80,30,50,4530,1490,3040,10,0,10
20,18,1,9,3164,1654,1510,600,510,90,60,20,40,2504,1124,1380,10,0,10
20,18,1,10,1600,800,800,280,250,30,20,0,20,1300,550,750,0,0,0
21,14,0,0,342600,175393,167207,22440,11630,10810,7110,1380,5730,313050,162383,150667,590,240,350
21,14,0,1,114840,64860,49980,48000,27320,20680,9540,1040,8500,57300,36500,20800,940,770,170
21,14,0,2,103600,50660,52940,71039,39460,31579,10640,810,9830,21921,10390,11531,970,850,120
21,14,0,3,94459,45510,48949,73480,42680,30800,9499,280,9219,11480,2550,8930,470,430,40
21,14,0,4,85856,42446,43410,70506,41526,28980,7490,80,7410,7860,840,7020,110,70,40
21,14,0,5,76440,39030,37410,63670,38370,25300,6570,120,6450,6200,540,5660,150,130,20
21,14,0,6,125995,63815,62180,104765,62665,42100,11180,180,11000,10050,970,9080,80,70,10
21,14,0,7,88840,47180,41660,69490,45820,23670,7800,160,7640,11550,1200,10350,40,20,20
21,14,0,8,62202,31951,30251,35621,26311,9310,4120,320,3800,22461,5320,17141,80,30,50
21,14,0,9,26890,12970,13920,8290,6780,1510,1030,170,860,17570,6020,11550,30,30,0
21,14,0,10,12521,5931,6590,1840,1470,370,320,120,200,10361,4341,6020,10,10,0
21,14,1,0,89948,46754,43194,1765,1405,360,140,30,110,88043,45319,42724,420,170,250
21,14,1,1,34746,19686,15060,5550,4790,760,436,116,320,28760,14780,13980,720,520,200
21,14,1,2,30678,16079,14599,9676,8369,1307,610,90,520,20392,7620,12772,690,550,140
21,14,1,3,25894,12221,13673,12384,10947,1437,500,50,450,13010,1224,11786,360,270,90
21,14,1,4,23834,12164,11670,13354,11694,1660,450,0,450,10030,470,9560,110,70,40
21,14,1,5,21068,11294,9774,12693,11004,1689,495,10,485,7880,280,7600,90,70,20
21,14,1,6,27916,15860,12056,17681,15550,2131,520,10,510,9715,300,9415,80,30,50
21,14,1,7,16045,8770,7275,8865,8020,845,360,30,330,6820,720,6100,40,30,10
21,14,1,8,10894,5754,5140,3794,3394,400,210,30,180,6890,2330,4560,50,20,30
21,14,1,9,4350,2220,2130,960,890,70,50,10,40,3340,1320,2020,0,0,0
21,14,1,10,2250,1090,1160,210,160,50,0,0,0,2040,930,1110,0,0,0
22,6,0,0,380420,196094,184326,32570,11750,20820,7610,2280,5330,340240,182064,158176,1110,640,470
22,6,0,1,124385,70066,54319,65939,34020,31919,6660,1830,4830,51786,34216,17570,1380,1100,280
22,6,0,2,118047,58147,59900,92077,48267,43810,5950,840,5110,20020,9040,10980,1340,1180,160
22,6,0,3,114000,55770,58230,97310,53800,43510,5670,310,5360,11020,1660,9360,570,430,140
22,6,0,4,99455,47550,51905,87160,46670,40490,4550,170,4380,7745,710,7035,100,90,10
22,6,0,5,90070,46860,43210,80680,46300,34380,3850,120,3730,5540,440,5100,70,40,30
22,6,0,6,139851,70774,69077,124481,69534,54947,6000,200,5800,9370,1040,8330,60,40,20
22,6,0,7,107740,55500,52240,89860,53220,36640,4817,280,4537,13063,2000,11063,100,30,70
22,6,0,8,75004,38024,36980,45644,30054,15590,3110,490,2620,26250,7480,18770,90,50,40
22,6,0,9,29360,14550,14810,9780,7280,2500,930,240,690,18650,7030,11620,60,30,30
22,6,0,10,11312,5412,5900,2150,1540,610,212,72,140,8950,3800,5150,80,30,50
22,6,1,0,96122,49689,46433,1920,1310,610,340,130,210,93862,48249,45613,460,260,200
22,6,1,1,40420,22620,17800,7140,5850,1290,650,260,390,32630,16510,16120,980,780,200
22,6,1,2,35302,18504,16798,13874,11464,2410,790,270,520,20638,6770,13868,1670,1310,360
22,6,1,3,30042,14208,15834,16064,12900,3164,608,58,550,13370,1250,12120,680,510,170
22,6,1,4,26054,13248,12806,15708,12808,2900,610,60,550,9736,380,9356,190,130,60
22,6,1,5,24551,12755,11796,15511,12465,3046,580,20,560,8460,270,8190,80,70,10
22,6,1,6,35930,19186,16744,23680,18766,4914,600,70,530,11650,350,11300,100,40,60
22,6,1,7,23734,12490,11244,14080,11100,2980,394,40,354,9260,1350,7910,70,40,30
22,6,1,8,16450,7980,8470,6420,5000,1420,200,30,170,9830,2950,6880,50,30,20
22,6,1,9,6830,3390,3440,1400,1260,140,50,40,10,5380,2090,3290,30,20,10
22,6,1,10,2800,1210,1590,380,320,60,20,0,20,2400,890,1510,0,0,0
23,1,0,0,389469,200542,188927,32550,12440,20110,5630,1850,3780,351289,186252,165037,650,480,170
23,1,0,1,143694,79594,64100,66438,35460,30978,6394,2094,4300,70862,42040,28822,1590,1230,360
23,1,0,2,132520,68208,64312,93868,53048,40820,6152,1050,5102,32500,14110,18390,1940,1690,250
23,1,0,3,121070,60370,60700,98480,57350,41130,4990,290,4700,17600,2730,14870,590,500,90
23,1,0,4,103970,52270,51700,88300,51330,36970,3710,80,3630,11960,860,11100,190,100,90
23,1,0,5,93957,48827,45130,81631,48201,33430,3010,70,2940,9316,556,8760,86,76,10
23,1,0,6,145446,73926,71520,126046,72496,53550,4890,220,4670,14510,1210,13300,100,60,40
23,1,0,7,111157,55990,55167,90860,53860,37000,4190,210,3980,16107,1920,14187,60,40,20
23,1,0,8,82907,42290,40617,50518,33781,16737,2870,390,2480,29519,8119,21400,70,30,40
23,1,0,9,31840,15650,16190,11030,8310,2720,580,180,400,20230,7160,13070,70,40,30
23,1,0,10,11470,5560,5910,1910,1480,430,90,0,90,9470,4080,5390,50,40,10
23,1,1,0,153534,79490,74044,2640,2020,620,200,90,110,150694,77380,73314,850,630,220
23,1,1,1,67265,35510,31755,11855,10000,1855,490,360,130,54920,25150,29770,2040,1490,550
23,1,1,2,60447,31627,28820,21240,18300,2940,666,304,362,38541,13023,25518,2443,1883,560
23,1,1,3,51189,24970,26219,25950,21740,4210,480,120,360,24759,3110,21649,1320,1000,320
23,1,1,4,43157,22421,20736,25949,21661,4288,390,80,310,16818,680,16138,350,170,180
23,1,1,5,39462,20742,18720,24035,20052,3983,270,20,250,15157,670,14487,290,130,160
23,1,1,6,57239,31098,26141,35829,30118,5711,430,40,390,20980,940,20040,300,200,100
23,1,1,7,37982,19897,18085,21572,17707,3865,290,80,210,16120,2110,14010,110,30,80
23,1,1,8,27380,13310,14070,9370,7500,1870,180,70,110,17830,5740,12090,80,80,0
23,1,1,9,10806,5566,5240,2260,2020,240,36,16,20,8510,3530,4980,10,10,0
23,1,1,10,4870,2160,2710,670,560,110,20,10,10,4180,1590,2590,20,10,10
24,2,0,0,346188,176158,170030,20190,10240,9950,14220,6240,7980,311778,159678,152100,2043,1143,900
24,2,0,1,149054,77014,72040,57554,32704,24850,16450,7310,9140,75050,37000,38050,1350,780,570
24,2,0,2,129248,69796,59452,81740,52830,28910,12076,3456,8620,35432,13510,21922,1430,920,510
24,2,0,3,114780,56570,58210,85630,52640,32990,9060,940,8120,20090,2990,17100,580,380,200
24,2,0,4,97787,50780,47007,80707,49850,30857,5320,230,5090,11760,700,11060,300,90,210
24,2,0,5,86370,44680,41690,73350,43970,29380,4490,160,4330,8530,550,7980,160,10,150
24,2,0,6,139927,70224,69703,118497,68674,49823,6920,330,6590,14510,1220,13290,70,0,70
24,2,0,7,111560,57730,53830,90330,55770,34560,5580,360,5220,15650,1600,14050,40,0,40
24,2,0,8,83179,44832,38347,54122,37572,16550,3990,1000,2990,25067,6260,18807,100,30,70
24,2,0,9,33225,18100,15125,12820,10150,2670,1255,550,705,19150,7400,11750,30,10,20
24,2,0,10,11920,6180,5740,2190,1770,420,220,140,80,9510,4270,5240,30,0,30
24,2,1,0,167396,87032,80364,2710,2120,590,810,400,410,163876,84512,79364,1590,930,660
24,2,1,1,80770,40860,39910,12500,10050,2450,1440,620,820,66830,30190,36640,1730,1040,690
24,2,1,2,73570,39613,33957,24894,21576,3318,1600,670,930,47076,17367,29709,2290,1510,780
24,2,1,3,57584,28905,28679,28344,24225,4119,1060,230,830,28180,4450,23730,850,530,320
24,2,1,4,48834,25174,23660,28700,24120,4580,954,174,780,19180,880,18300,300,140,160
24,2,1,5,44357,22767,21590,27332,22192,5140,760,60,700,16265,515,15750,210,40,170
24,2,1,6,68230,36688,31542,43423,35320,8103,1075,78,997,23732,1290,22442,220,80,140
24,2,1,7,45783,24143,21640,26729,21863,4866,770,140,630,18284,2140,16144,70,20,50
24,2,1,8,31747,16800,14947,12280,9900,2380,467,200,267,19000,6700,12300,140,90,50
24,2,1,9,12988,6658,6330,2700,2470,230,190,100,90,10098,4088,6010,50,30,20
24,2,1,10,5260,2580,2680,550,450,100,80,20,60,4630,2110,2520,20,20,0
25,29,0,0,433718,222930,210788,38420,16710,21710,8340,2450,5890,386958,203770,183188,2180,1270,910
25,29,0,1,157362,84306,73056,76266,40400,35866,9876,2666,7210,71220,41240,29980,1750,1170,580
25,29,0,2,146202,74660,71542,104470,59000,45470,9360,1510,7850,32372,14150,18222,1850,1480,370
25,29,0,3,131773,62900,68873,107373,59690,47683,7530,460,7070,16870,2750,14120,740,570,170
25,29,0,4,112950,57290,55660,96800,56160,40640,5620,250,5370,10530,880,9650,170,90,80
25,29,0,5,102223,53384,48839,89573,52704,36869,4290,110,4180,8360,570,7790,80,30,50
25,29,0,6,161167,81467,79700,141847,80237,61610,7470,180,7290,11850,1050,10800,150,20,130
25,29,0,7,120175,62730,57445,99320,59700,39620,5935,470,5465,14920,2560,12360,50,10,40
25,29,0,8,85873,43550,42323,53204,35090,18114,3770,610,3160,28899,7850,21049,130,50,80
25,29,0,9,33920,16310,17610,11440,8790,2650,1210,290,920,21270,7230,14040,50,30,20
25,29,0,10,12850,5920,6930,1940,1560,380,240,70,170,10670,4290,6380,30,0,30
25,29,1,0,88743,45979,42764,1200,870,330,190,110,80,87353,44999,42354,430,280,150
25,29,1,1,38525,20026,18499,5066,4056,1010,390,200,190,33069,15770,17299,750,510,240
25,29,1,2,36310,19683,16627,12249,10482,1767,640,240,400,23421,8961,14460,1090,750,340
25,29,1,3,29613,14560,15053,14983,12460,2523,550,120,430,14080,1980,12100,340,220,120
25,29,1,4,25120,13269,11851,15286,12800,2486,539,69,470,9295,400,8895,80,20,60
25,29,1,5,22635,11609,11026,13782,11375,2407,503,24,479,8350,210,8140,50,20,30
25,29,1,6,33141,18311,14830,21760,17830,3930,594,70,524,10787,411,10376,50,0,50
25,29,1,7,19765,10130,9635,11111,8980,2131,310,30,280,8344,1120,7224,30,0,30
25,29,1,8,13588,6838,6750,4940,4000,940,200,80,120,8448,2758,5690,50,40,10
25,29,1,9,6340,3050,3290,1370,1210,160,50,30,20,4920,1810,3110,30,20,10
25,29,1,10,2380,1170,1210,140,110,30,10,10,0,2230,1050,1180,20,10,10
26,28,0,0,177619,90168,87451,7640,3620,4020,2850,1290,1560,167129,85258,81871,830,450,380
26,28,0,1,77936,39700,38236,27350,14850,12500,4666,2000,2666,45920,22850,23070,1100,600,500
26,28,0,2,67576,37990,29586,43166,27330,15836,3620,1170,2450,20790,9490,11300,1240,960,280
26,28,0,3,59407,29040,30367,45960,26610,19350,2240,340,1900,11207,2090,9117,460,250,210
26,28,0,4,52462,26725,25737,45172,26185,18987,1800,110,1690,5490,430,5060,190,60,130
26,28,0,5,48400,25570,22830,42960,25210,17750,1140,40,1100,4300,320,3980,60,30,30
26,28,0,6,76963,38483,38480,67943,38033,29910,2320,60,2260,6700,390,6310,130,20,110
26,28,0,7,61062,30862,30200,51480,29730,21750,1882,102,1780,7700,1030,6670,70,20,50
26,28,0,8,46355,24955,21400,31160,20530,10630,1430,270,1160,13765,4155,9610,100,50,50
26,28,0,9,19950,10570,9380,7210,5300,1910,400,140,260,12340,5130,7210,60,40,20
26,28,0,10,7970,4270,3700,1280,970,310,90,80,10,6600,3220,3380,30,20,10
26,28,1,0,64485,32625,31860,560,420,140,149,49,100,63776,32156,31620,380,240,140
26,28,1,1,31980,15924,16056,3006,2510,496,290,140,150,28684,13274,15410,1220,760,460
26,28,1,2,28941,15323,13618,7617,6680,937,490,280,210,20834,8363,12471,1790,1090,700
