District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Marginal_Seeking_Persons,Marginal_Seeking_Males,Marginal_Seeking_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
22,Mumbai (Suburban),Urban,25-29,902025,504794,397231,504993,430878,74115,30890,23202,7688,17597,15053,2544,366142,50714,315428,63577,31382,32195
22,Mumbai (Suburban),Urban,30-34,755606,422630,332976,451566,387073,64493,22847,15757,7090,12327,10316,2011,281193,19800,261393,28830,12100,16730
22,Mumbai (Suburban),Urban,35-39,690066,374018,316048,414406,349155,65251,20017,12513,7504,9920,7894,2026,255643,12350,243293,19060,6743,12317
22,Mumbai (Suburban),Urban,40-49,1004529,563313,441216,615564,520524,95040,24902,16113,8789,10823,8918,1905,364063,26676,337387,20719,10073,10646
22,Mumbai (Suburban),Urban,50-59,586061,326243,259818,305091,262609,42482,10835,7277,3558,3276,2682,594,270135,56357,213778,9166,5516,3650
22,Mumbai (Suburban),Urban,60-69,338013,173473,164540,72997,62517,10480,4748,3169,1579,822,607,215,260268,107787,152481,3991,2404,1587
22,Mumbai (Suburban),Urban,70-79,137170,68257,68913,15608,13353,2255,1206,819,387,188,138,50,120356,54085,66271,1106,626,480
22,Mumbai (Suburban),Urban,80+,45885,20401,25484,4695,3966,729,302,208,94,64,52,12,40888,16227,24661,321,143,178
23,Mumbai,Urban,05-09,258330,134688,123642,1446,967,479,260,136,124,23,14,9,256624,133585,123039,2181,1190,991
23,Mumbai,Urban,10-14,291481,155874,135607,8262,6592,1670,1057,742,315,272,207,65,282162,148540,133622,5731,3406,2325
23,Mumbai,Urban,15-19,336557,197647,138910,70590,61812,8778,7182,5546,1636,3545,2939,606,258785,130289,128496,48635,29778,18857
23,Mumbai,Urban,20-24,393506,243553,149953,182465,159415,23050,12730,9862,2868,7744,6543,1201,198311,74276,124035,64764,38374,26390
