District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Marginal_Seeking_Persons,Marginal_Seeking_Males,Marginal_Seeking_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females,Location,Year
1,20,0,0,150544,76982,73562,1096,592,504,1872,821,1051,206,98,108,147576,75569,72007,734,371,363,"Nandurbar, Maharashtra, India",2001
1,20,0,1,145323,76223,69100,10006,4899,5107,13914,5861,8053,2624,1267,1357,121403,65463,55940,1607,828,779,"Nandurbar, Maharashtra, India",2001
1,20,0,2,103968,54363,49605,31533,16829,14704,22874,9187,13687,8562,4102,4460,49561,28347,21214,5594,3442,2152,"Nandurbar, Maharashtra, India",2001
1,20,0,3,86222,41964,44258,47419,27502,19917,20642,6881,13761,8567,4115,4452,18161,7581,10580,3470,2215,1255,"Nandurbar, Maharashtra, India",2001
1,20,0,4,81804,39877,41927,54011,33110,20901,17916,5273,12643,7018,3221,3797,9877,1494,8383,1387,579,808,"Nandurbar, Maharashtra, India",2001
1,20,0,5,77456,37419,40037,54905,33098,21807,15422,3838,11584,5688,2316,3372,7129,483,6646,657,189,468,"Nandurbar, Maharashtra, India",2001
1,20,0,6,75552,38550,37002,55320,34759,20561,13867,3456,10411,4840,1975,2865,6365,335,6030,530,98,432,"Nandurbar, Maharashtra, India",2001
1,20,0,7,104282,54284,49998,76595,49326,27269,17966,4337,13629,5332,2107,3225,9721,621,9100,601,110,491,"Nandurbar, Maharashtra, India",2001
1,20,0,8,61150,30818,30332,40947,26852,14095,10967,2720,8247,2472,1004,1468,9236,1246,7990,434,95,339,"Nandurbar, Maharashtra, India",2001
1,20,0,9,55284,24480,30804,25033,16473,8560,8905,2809,6096,1242,549,693,21346,5198,16148,564,160,404,"Nandurbar, Maharashtra, India",2001
1,20,0,10,19973,9185,10788,5280,3995,1285,2132,996,1136,212,123,89,12561,4194,8367,183,63,120,"Nandurbar, Maharashtra, India",2001
1,20,0,11,5411,2369,3042,983,691,292,301,135,166,43,23,20,4127,1543,2584,21,7,14,"Nandurbar, Maharashtra, India",2001
1,20,1,0,22695,11836,10859,101,69,32,31,17,14,4,3,1,22563,11750,10813,121,62,59,"Nandurbar, Maharashtra, India",2001
1,20,1,1,26296,14010,12286,527,353,174,218,124,94,50,29,21,25551,13533,12018,321,200,121,"Nandurbar, Maharashtra, India",2001
1,20,1,2,22870,12174,10696,2829,2336,493,632,398,234,234,156,78,19409,9440,9969,1341,947,394,"Nandurbar, Maharashtra, India",2001
1,20,1,3,19302,10364,8938,6125,5502,623,790,510,280,321,249,72,12387,4352,8035,1896,1375,521,"Nandurbar, Maharashtra, India",2001
1,20,1,4,16256,7901,8355,7324,6440,884,651,328,323,253,164,89,8281,1133,7148,883,548,335,"Nandurbar, Maharashtra, India",2001
1,20,1,5,14912,7523,7389,8077,6969,1108,574,233,341,230,130,100,6261,321,5940,315,160,155,"Nandurbar, Maharashtra, India",2001
1,20,1,6,14473,7216,7257,8040,6847,1193,529,189,340,195,106,89,5904,180,5724,165,72,93,"Nandurbar, Maharashtra, India",2001
